Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR7365466,2018-09-20 00:09:52,2018-06-19 14:27:35,43606564,12174649939,43606564,279,4279,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/365/SRR7365466.sralite.1,SRX4238428,chaoexpo03_I5,WGS,MDA,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP127288,PRJNA421162,,421162,SRS3435437,SAMN09454483,simple,655179,air metagenome,chaoexpo03_I5,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA724669,,public,755D55EB4685FB9F43CF2687CCB917C7,95296ADE6A3DFCDFDA08BC5D63206A9F
SRR6399749,2018-09-20 00:09:38,2017-12-21 07:34:21,93740534,26973416910,93740534,287,9833,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/399/SRR6399749.sralite.1,SRX3492698,chaoexpo03_I6,WGS,MDA,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP127288,PRJNA421162,,421162,SRS2776299,SAMN08215706,simple,655179,air metagenome,chaoexpo03_I6,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA640713,,public,608C3E3EF463334CB6E3C8F0EA334DAB,D46E0A8EDA259D23E3860C5B577386B6
SRR6399874,2018-09-20 00:09:49,2017-12-21 01:44:37,80905313,23122279755,80905313,285,8511,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/399/SRR6399874.sralite.1,SRX3493140,chaoexpo04_I12,WGS,MDA,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP127288,PRJNA421162,,421162,SRS2776743,SAMN08215803,simple,655179,air metagenome,chaoexpo04_I12,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA640713,,public,1EA7987AC6252EDC41B4E2342D76DA6B,B67C73B9B0F81FF3B9592292332FEF89
SRR6400010,2018-09-20 00:09:46,2017-12-21 03:27:54,73686461,21283115654,73686461,288,7704,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/400/SRR6400010.sralite.1,SRX3493004,chaoexpo04_I15,WGS,MDA,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP127288,PRJNA421162,,421162,SRS2776605,SAMN08215813,simple,655179,air metagenome,chaoexpo04_I15,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA640713,,public,EA0F557C829D9B9896716C0BCC54C764,3D653AC1EC01DB1B6BB84C7B08FA58CB
SRR6399664,2018-09-20 00:09:40,2017-12-23 03:36:51,56194185,16137354939,56194185,287,6959,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/399/SRR6399664.sralite.1,SRX3492783,chaoexpo04_I5,WGS,MDA,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP127288,PRJNA421162,,421162,SRS2776386,SAMN08215750,simple,655179,air metagenome,chaoexpo04_I5,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA640713,,public,87722FBB1F04D1421C266678E099F706,D8ED3E74A08EB45C677FD2BCEEABB765
SRR6399591,2018-09-20 00:09:42,2017-12-20 21:54:31,73962631,21480945182,73962631,290,9035,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/399/SRR6399591.sralite.1,SRX3492856,chaoexpo04_I6,WGS,MDA,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP127288,PRJNA421162,,421162,SRS2776456,SAMN08215787,simple,655179,air metagenome,chaoexpo04_I6,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA640713,,public,7BE5467AFFB00842CCE1F7968F5EE92A,C8C76B9B8292CE567C4EA7E02D8810BC
SRR6399558,2018-09-20 00:09:43,2017-12-20 20:13:19,43950241,12404697152,43950241,282,5652,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/399/SRR6399558.sralite.1,SRX3492889,chaoexpo05_I12,WGS,MDA,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP127288,PRJNA421162,,421162,SRS2776489,SAMN08215716,simple,655179,air metagenome,chaoexpo05_I12,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA640713,,public,14136D0B483CE2687AABFC74A1F9797C,4C8AC292A95BA06E5735652F5D907D9D
SRR6399864,2018-09-20 00:09:49,2017-12-21 01:18:09,54732633,15704903723,54732633,286,5652,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/399/SRR6399864.sralite.1,SRX3493150,chaoexpo05_I15,WGS,MDA,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP127288,PRJNA421162,,421162,SRS2776748,SAMN08215732,simple,655179,air metagenome,chaoexpo05_I15,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA640713,,public,6E6C4DAC9F8D8F87A91505F67A857B02,2CE27A9585A4AB82BB457C5F3ADC4F2E
SRR7365472,2018-09-20 00:09:52,2018-06-19 13:50:19,15573248,4525788163,15573248,290,1623,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR007/365/SRR7365472.sralite.1,SRX4238422,chaoexpo05_I5,WGS,MDA,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP127288,PRJNA421162,,421162,SRS3435431,SAMN09454484,simple,655179,air metagenome,chaoexpo05_I5,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA724669,,public,CAC5D9D86EF811E973546034A841FD1D,FA17AE86C1115773B499049F26FB1912
SRR6399931,2018-09-20 00:09:48,2017-12-21 02:19:13,59813063,17191267482,59813063,287,7422,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/399/SRR6399931.sralite.1,SRX3493083,chaoexpo05_I6,WGS,MDA,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP127288,PRJNA421162,,421162,SRS2776684,SAMN08215696,simple,655179,air metagenome,chaoexpo05_I6,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA640713,,public,967D462A613C15021F00EFECCDC518B6,49F12D5B4E7E6E8CDC8B0931F74BFFDE
SRR6400011,2018-09-20 00:09:46,2017-12-21 04:29:37,57812423,16711061535,57812423,289,7568,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/400/SRR6400011.sralite.1,SRX3493003,chaoexpo06_I12,WGS,MDA,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP127288,PRJNA421162,,421162,SRS2776603,SAMN08215814,simple,655179,air metagenome,chaoexpo06_I12,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA640713,,public,2F3EAF82A5FC8FF3A58CD92DBFC13E41,A2F2656BA7F14FB153F6DDFA032E44CB
SRR6399618,2018-09-20 00:09:41,2017-12-21 05:12:01,62405823,18260704358,62405823,292,8250,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/399/SRR6399618.sralite.1,SRX3492829,chaoexpo06_I15,WGS,MDA,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP127288,PRJNA421162,,421162,SRS2776431,SAMN08215835,simple,655179,air metagenome,chaoexpo06_I15,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA640713,,public,3396F9E5A2E052D21F0751C68CC0BF7D,0BB0D157B00ED108C7DF7D83DC985ABF
SRR6399920,2018-09-20 00:09:48,2017-12-20 20:04:53,30887711,8893987525,30887711,287,3972,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/399/SRR6399920.sralite.1,SRX3493094,chaoexpo06_I5,WGS,MDA,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP127288,PRJNA421162,,421162,SRS2776700,SAMN08215763,simple,655179,air metagenome,chaoexpo06_I5,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA640713,,public,5658F468469455351800E153664C6DE9,BB85770B738C330A35D9C2C615D7D62C
SRR6399589,2018-09-20 00:09:42,2017-12-20 20:44:57,56207550,16332932853,56207550,290,7383,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/399/SRR6399589.sralite.1,SRX3492858,chaoexpo06_I6,WGS,MDA,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP127288,PRJNA421162,,421162,SRS2776459,SAMN08215785,simple,655179,air metagenome,chaoexpo06_I6,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA640713,,public,25D0ED8BA7E2F221A041CF6159EB9C9B,9DF45FD1D8D648F6D31CF5478B9EA1BD
SRR6399921,2018-09-20 00:09:48,2017-12-21 10:42:30,51734347,14796795407,51734347,286,6864,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/399/SRR6399921.sralite.1,SRX3493093,chaoexpo07_I12,WGS,MDA,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP127288,PRJNA421162,,421162,SRS2776694,SAMN08215762,simple,655179,air metagenome,chaoexpo07_I12,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA640713,,public,7C17859F007EEDFB8737C810F8F38166,BDADFF6962D2105E4E1F57E5D62628E4
SRR6399769,2018-09-20 00:09:37,2017-12-21 00:16:20,35750467,10377085198,35750467,290,4661,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/399/SRR6399769.sralite.1,SRX3492678,chaoexpo07_I15,WGS,MDA,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP127288,PRJNA421162,,421162,SRS2776282,SAMN08215780,simple,655179,air metagenome,chaoexpo07_I15,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA640713,,public,6C18006147B79D3E4EBB235E59BF91F5,6CE753273845081DD98302A25E9839A1
SRR7365473,2018-09-20 00:09:52,2018-06-19 15:34:47,40653167,11781067247,40653167,289,3599,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR007/365/SRR7365473.sralite.1,SRX4238421,chaoexpo07_I5,WGS,MDA,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP127288,PRJNA421162,,421162,SRS3435430,SAMN09454485,simple,655179,air metagenome,chaoexpo07_I5,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA724669,,public,07C1CF451BEAA0180775F68CBF7849D2,C778EC621546FA2959006BFB834D1BF8
SRR6399993,2018-09-20 00:09:46,2017-12-21 02:57:21,75833003,21822155283,75833003,287,10005,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/399/SRR6399993.sralite.1,SRX3493021,chaoexpo07_I6,WGS,MDA,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP127288,PRJNA421162,,421162,SRS2776622,SAMN08215727,simple,655179,air metagenome,chaoexpo07_I6,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA640713,,public,F0E80DFF36B6245F66FFAA8EE1439213,0382FB86EB98F2859719BB74CA231AD2
SRR6399622,2018-09-20 00:09:41,2017-12-21 12:00:13,43567554,12556985049,43567554,288,5786,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/399/SRR6399622.sralite.1,SRX3492825,chaoexpo08_I12,WGS,MDA,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP127288,PRJNA421162,,421162,SRS2776426,SAMN08215831,simple,655179,air metagenome,chaoexpo08_I12,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA640713,,public,E39EBF77A9991DA6A14DA232ED2996B5,E0D92EA47FC9634CE0AD710840FE641C
SRR6399810,2018-09-20 00:09:36,2017-12-21 00:19:34,61106518,17651169612,61106518,288,8222,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/399/SRR6399810.sralite.1,SRX3492637,chaoexpo08_I15,WGS,MDA,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP127288,PRJNA421162,,421162,SRS2776241,SAMN08215846,simple,655179,air metagenome,chaoexpo08_I15,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA640713,,public,B50506D266CDB48B4A4204A4000B652F,D0698FA059B70BDE1F0F7702A1CA0F3C
SRR6400012,2018-09-20 00:09:46,2017-12-21 04:20:33,33275496,9626855481,33275496,289,4473,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/400/SRR6400012.sralite.1,SRX3493002,chaoexpo08_I5,WGS,MDA,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP127288,PRJNA421162,,421162,SRS2776602,SAMN08215811,simple,655179,air metagenome,chaoexpo08_I5,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA640713,,public,A7A460A18503DB9DC79C7DA13B8860C0,4EE1DF293D95566793F57731AF763028
SRR6399600,2018-09-20 00:09:42,2017-12-21 05:02:08,67990020,19786486699,67990020,291,9007,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/399/SRR6399600.sralite.1,SRX3492847,chaoexpo08_I6,WGS,MDA,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP127288,PRJNA421162,,421162,SRS2776449,SAMN08215830,simple,655179,air metagenome,chaoexpo08_I6,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA640713,,public,7BE672223F523F0CC6B884EE58853260,201BD3D8343DF1489C58A26D2EA3008A
SRR6399557,2018-09-20 00:09:43,2017-12-20 20:12:30,35322845,10100854504,35322845,285,4708,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/399/SRR6399557.sralite.1,SRX3492890,chaoexpo09_I12,WGS,MDA,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP127288,PRJNA421162,,421162,SRS2776490,SAMN08215715,simple,655179,air metagenome,chaoexpo09_I12,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA640713,,public,E39DA82A6ADD857D2CA1D6AFC77FC3E7,80236E45D49F96B23F9327F55922E1E5
SRR6399666,2018-09-20 00:09:40,2017-12-20 22:35:23,44034876,12513233842,44034876,284,5298,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/399/SRR6399666.sralite.1,SRX3492781,chaoexpo09_I15,WGS,MDA,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP127288,PRJNA421162,,421162,SRS2776382,SAMN08215746,simple,655179,air metagenome,chaoexpo09_I15,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA640713,,public,6A9C58CB44FF98F7246F7F9D4636918E,E7A6EED4473AC3F042E4CF7DD2AA0A7F
SRR7365474,2018-09-20 00:09:52,2018-06-19 14:24:24,57102376,16123436172,57102376,282,5956,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR007/365/SRR7365474.sralite.1,SRX4238420,chaoexpo09_I5,WGS,MDA,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP127288,PRJNA421162,,421162,SRS3435429,SAMN09454486,simple,655179,air metagenome,chaoexpo09_I5,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA724669,,public,BC9DC2EC7134DEB0AF01A012AD62D9CF,6DC0511D0D462824BE3383035320CFC0
SRR6399752,2018-09-20 00:09:38,2017-12-21 00:25:44,64716088,18225014453,64716088,281,8505,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/399/SRR6399752.sralite.1,SRX3492695,chaoexpo09_I6,WGS,MDA,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP127288,PRJNA421162,,421162,SRS2776295,SAMN08215707,simple,655179,air metagenome,chaoexpo09_I6,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA640713,,public,0C13663313951A1AFC8714088EEB8840,BECD247EDA5AD9288F2BF9E96D5FEFB0
SRR6399568,2018-09-20 00:09:43,2017-12-21 14:26:17,65415513,19038595612,65415513,291,7604,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/399/SRR6399568.sralite.1,SRX3492879,chaoexpo10_I12,WGS,MDA,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP127288,PRJNA421162,,421162,SRS2776481,SAMN08215859,simple,655179,air metagenome,chaoexpo10_I12,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA640713,,public,F6A48ECA3D3CBBAD577A473B21116FD9,92894FF2E2D873453858EB50D9395107
SRR6399723,2018-09-20 00:09:39,2017-12-20 22:54:27,61287704,17545305050,61287704,286,6234,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/399/SRR6399723.sralite.1,SRX3492724,chaoexpo10_I15,WGS,MDA,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP127288,PRJNA421162,,421162,SRS2776327,SAMN08215886,simple,655179,air metagenome,chaoexpo10_I15,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA640713,,public,9CC5B1FD0CC96985435F82DDCF35304C,828D8866B6E4419382317E7C9629DE26
SRR6399768,2018-09-20 00:09:37,2017-12-21 06:44:46,95034328,27902723688,95034328,293,11446,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/399/SRR6399768.sralite.1,SRX3492679,chaoexpo10_I5,WGS,MDA,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP127288,PRJNA421162,,421162,SRS2776280,SAMN08215779,simple,655179,air metagenome,chaoexpo10_I5,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA640713,,public,45BC900EEA01BED38826CA6689361597,30988B6D6FAC25B559F638660D464567
SRR6399619,2018-09-20 00:09:41,2017-12-20 20:39:28,69005571,20084298901,69005571,291,8227,GCA_000001405.13,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/399/SRR6399619.sralite.1,SRX3492828,chaoexpo10_I6,WGS,MDA,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP127288,PRJNA421162,,421162,SRS2776429,SAMN08215836,simple,655179,air metagenome,chaoexpo10_I6,,,,,,,no,,,,,STANFORD UNIVERSITY,SRA640713,,public,865758C28FF7843B80CF02553A6DC135,49D70891288890F45CD3727C7796075B
